,Derived,Consensus
CER4DS2d16,2.2162430235632875e-07,1.4331557739053733e-06
CER4DS2d18,1.920294885919928e-06,1.0767634505553173e-05
PYDXS,0.0,0.0
TYRPYRAT,0.0,0.0
OPMT1,0.0,0.0
OPMT2,0.0,0.0
HCO3DH,0.0,0.0
FAcoaRavge,0.0035781620592092605,0.0147371512646863
FARavge,0.0,0.0
STERYLEST,0.0,0.0006981977098906868
Nglycmann,0.0,0.0
Oglycmann,0.0,0.0
FACOAL180p,0.0,0.0
FACOAL181p,0.0,0.0
FACOAL182p,0.0,0.0
FACOAL183p,0.0,0.0
FACOAL240,0.0,0.0
PTE141x,0.0,0.0
PTE161x,0.0,0.0
PTE181x,0.0,0.0
PTE182x,0.0,0.0
PTE183x,0.0,0.0
PTE260x,0.0,0.0
DESAT182,0.0007657266806707818,0.003153750370642868
POLYPPX,0.0,0.0
CER8DS16,8.43224254390275e-08,6.126132687935825e-08
CER8DS18,2.2898392280620785e-07,1.6635976576945369e-07
CER8DS2d16,1.7837812840656112e-07,1.4017368721740185e-06
CER8DS2d18,1.410934730041191e-06,1.0025089317279492e-05
CER9MET16,8.788408174595525e-08,6.906135800443225e-07
CER9MET18,9.179292393684429e-07,7.2133017223767985e-06
SBPP3er,0.0,0.0
SGPL12,-4.552906894194217e-07,-7.557407480715414e-07
HXDCEALR,-4.552906894194217e-07,-7.557407480715414e-07
CERavg,3.8068815096626407e-06,2.7657483918446163e-06
CERS2d16,2.2162430235632875e-07,1.4331557739053733e-06
CERS2d18,1.9540107484723444e-06,1.1032581604948434e-05
CERS424,9.418413953666618e-08,1.0914634032579715e-06
CERS426,8.44910304464573e-08,7.646858752522515e-07
GLCCERavg,1.5262952717255168e-06,1.199398367565687e-05
IPC116PLC_PP,0.0,0.0
IPC118PLC_PP,0.0,0.0
IPC424PLC_PP,0.0,0.0
IPC426PLC_PP,0.0,0.0
IPCavg,2.1582199791479395e-06,1.3229859433429957e-05
IPCS116_PP,0.0,0.0
IPCS118_PP,2.1474288792522e-07,1.3163710136262807e-06
IPCS424_PP,9.418413953666618e-08,1.0914634032579715e-06
IPCS426_PP,7.48902332764335e-08,7.646858752522515e-07
mip2c424plc_pp,0.0,0.0
mip2c426plc_pp,-9.600797170023786e-09,0.0
MIP2Cavg,8.523573334706174e-08,1.3229859433429957e-05
mip2cs424_pp,9.120223468135604e-10,1.4155949593770052e-07
mip2cs426_pp,-9.600797170023786e-09,0.0
mipc424plc_pp,0.0,0.0
mipc426plc_pp,0.0,0.0
MIPCavg,4.1561892510925484e-07,1.3229859433429957e-05
MIPCS424_SC,1.5624932295681183e-08,6.09896519881121e-07
MIPCS426_SC,0.0,3.05609752912232e-07
SPHLIPIDS,0.0,5.4443865981193235e-05
SPHS1Pter,0.0,0.0
OGLYCOStg,0.0,0.0
CHITINtg,0.0,0.0
MANNANtg,0.0,0.0
FARCOAtm,0.0,0.0
FACOAtm,0.0,0.0
CLPNtm,0.0,1.693371751602744e-05
DEDOLPP,0.0,0.0
DEDOLS,0.0,0.0
NADHter,0.0011376199354000683,0.0035496204051254873
NADter,-0.0011376199354000683,-0.0035496204051254873
NADPHter,0.0011376199354000683,0.003287303457186715
NADPter,-0.0011376199354000683,-0.003287303457186715
GPAILter,0.0,0.0
PI34BP4P_PP,0.0,0.0
12DGRter,0.0,0.0
PEter,0.0,0.0
PAter,0.0,0.0
DUDPtn,0.0,0.0
MI13456Ptn,0.0,0.0
PMI23456PH,0.0,0.0
PMI23456PS,0.0,0.0
PMI12456PH,0.0,0.0
PMI12456PS,0.0,0.0
DPMI2346PH1,0.0,0.0
DPMI2346PS1,0.0,0.0
DPMI2346PH5,0.0,0.0
DPMI2346PS5,0.0,0.0
DPMI1246PH3,0.0,0.0
DPMI1246PS3,0.0,0.0
DPMI1246PH5,0.0,0.0
DPMI1246PS5,0.0,0.0
DNADtn,0.0,0.0
DOLter,0.0,0.0
2HBO,0.0,0.0
2HBt2,0.0,0.0
34HPPt2p,0.0,0.0
3C4MOPtm,0.01747298384041767,0.022288454887302266
4ABUTNtm,0.0,0.0
4ABUTtm,0.0,0.0
4H2OGLTtm,0.0,0.0
4H2OGLTtp,0.0,0.0
4HPRO_LTtm,0.0,0.0
8AONNt2,0.0,0.0
AABTN,0.0,0.0
AACTOOR,0.0,0.0
AASAD2,0.015343895769523356,0.02021364751575583
ACCOAtn,0.0,0.0
ACRNtp,0.0,0.0
ACtp,0.0,0.0
ADEtm,0.0,0.0
AHMMPS,0.0,0.0
AKGt2n,0.0,0.0
AKGtp,0.0,0.0
AOBUTDs,0.0,0.0
APRTO2,0.0,0.0
ARAB1D2,0.0,0.0
ARAB_Dt,0.0,0.0
ARGt2m,0.0,0.0
ASNt2m,0.0,0.0
CBPSn,0.0,0.0
CBPtn,0.0,0.0
CDPtn,0.0,0.0
CITtap,0.0,0.0
CITtcp,0.0,0.0
CMPN,0.0,0.0
CO2tp,0.0,0.0
COAtn,0.0,0.0
CRNtp,0.0,0.0
CYSTtp,0.0,0.0
DADPtn,0.0,0.0
DANNt2,0.0,0.0
DCDPtn,0.0,0.0
DDPAm,0.02014002961435917,0.019658778522206054
DESAT14,0.0,0.0
DESAT18_2,0.0017354085987164917,0.007147518363372855
DGDPtn,0.0,0.0
DGGH,0.0,0.0
DIAT,0.0,0.0
DNTPPA,0.0,0.0
DOLPt2er,-0.03915669298827435,-0.03667578898169463
DPCOAKm,0.0,-1.9299491657453056e-07
DUMPtn,0.0,0.0
E4HGLUtm,0.0,0.0
E4HGLUtp,0.0,0.0
E4Ptm,0.02014002961435917,0.019658778522206054
FA100tp,0.0,0.0
FA120tp,0.0,0.0
FA80tp,0.0,0.0
FMNATm,-1.777121034514774e-07,0.0
FMNRx,0.0,0.0
FORtrn,0.0,0.0
FRUK,0.0,0.0
FTHFL2,0.0,0.0
G13MTg,0.0,0.0
G16MTg,0.0,0.0
G6PDA,0.0,0.0
GDPtg,0.0,0.0
GDPtn,0.0,0.0
GGLGH,0.0,0.0
GLNt2n,0.0,0.0
GLUt2n,0.0,0.0
GLXtp,8.885605206550729e-08,0.0
GLYAT,0.0,0.0
GSNK,0.0,0.0
GSNtm,0.0,0.0
GUAtm,0.0,0.0
H2O2tn,0.0,0.0
HCYSt2p,0.0,0.0
HYPOE,5.923736804754354e-08,0.0
IND3ACtm,0.0,0.0
INSK,0.0,0.0
Kt2,0.0,0.0
LCAD,0.0,0.0
L_LACtm,0.0,0.0
LYSt2m,0.0,0.0
HISt2m,0.0,0.0
MALOAAtp,0.0,0.0
MANNANter,-0.03915669298827435,-0.03667578898169463
MELIBt2,0.0,0.0
MGSA,0.0,0.0
MINOHPtn,0.0,0.0
NABTNO,0.0,0.0
NADNm,0.0,0.0
NADPPPSm,0.0,0.0
NADtn,0.0,0.0
NDP4,0.0,0.0
NH4tn,0.0,0.0
NMNt2m,0.0,0.0
NMNt2p,0.0,0.0
NTD10,0.0,0.0
NTD3,0.0,0.0
NTD5,0.0,0.0
NTD7,0.0,0.0
NTP4,0.0,0.0
OBDHc,0.0,0.0
PAK_PP,0.0,0.0
PAN4Ptm,0.0,-1.9299491657453056e-07
PAPtm,0.0,0.0
PHCHGS,0.0,0.0
PHEt2m,0.0,0.0
PI3P4K_PP,0.0,0.0
PIt2n,0.0,0.0
PIt2p,0.0,0.0
PNP,0.0,0.0
PPND,0.0,0.0
PRPPtm,1.777121041426306e-07,0.0
PTD1INOtn_SC,0.0,0.0
PTPATim,0.0,-1.9299491657453056e-07
PYDAMK,0.0,0.0
PYDXK,5.923736804754354e-08,0.0
PYDXNK,0.0,0.0
PYNP2r,0.0,0.0
PYRt2p,0.0,0.0
QULNtm,1.777121041426306e-07,0.0
RIBFLVtm,0.0,0.0
SHSL1,0.0,0.0
SHSL4r,0.0,0.0
SPMDAT1,0.0,0.0
SUCRt2,0.0,0.0
TMDK1,0.0,0.0
TMN,0.0,0.0
MPK,0.0,0.0
TREHv,0.0,0.0
TRPt2m,0.0,0.0
TYRt2m,0.0,0.0
UMPtn,0.0,0.0
XYLTD_D,0.0,0.0
ACOHT,0.0,0.0
NFORTYRS,0.0,0.0
COAHLm,0.0,0.0
PSPH1Pter,0.0,0.0
SPH1Pter,0.0,0.0
2MBACt,0.0,0.0
ACESt,0.0,0.0
IAMACt,0.0,0.0
IBUTACt,0.0,0.0
PHEACt,0.0,0.0
TAURt,0.0,0.0
FRDPtm,0.0,0.0
AMPtn,0.0,0.0
ASPt5n,0.0,0.0
MI145Ptn,0.0,0.0
PI4Ptn,0.0,0.0
23CAMPH,0.0,0.0
AC2MBTOHT,0.0,0.0
AC2PHETOHT,0.0,0.0
ACIAMOHT,0.0,0.0
ACIBUTOHT,0.0,0.0
PECTH,0.0,0.0
5AOPt2,0.0,0.0
ABUTt2r,0.0,0.0
AKGt2r,0.0,0.0
ARAB1D1,0.0,0.0
CBASPtn,0.0,0.0
CERH124,0.0,0.0
CERH126,1.7427721935038591e-06,1.639261728706964e-05
CERS2d24,0.0,0.0
CERS2d26,0.0,0.0
CERS324,2.35044274256299e-06,2.298027280468268e-05
CERS326,1.6413306568871015e-06,1.6159150883193623e-05
CITt2r,0.0,0.0
CYOR_u6m,4.917430384447207,4.652797666681175
DNMPPA,0.0,0.0
FACOAL240p,0.0,0.0
FACOAL260p,0.0,0.0
FAO182p_even_even,0.0,0.0
FAO182p_even_odd,0.0,0.0
FAO182p_odd_odd,0.0,0.0
OCDCYAt,0.0,0.0
PAPt,0.0,0.0
PDE2,0.0,0.0
pla2_2e,0.0,0.0
SBTD_D2,0.0,0.0
SBTD_L,0.0,0.0
SBTR,0.0,0.0
PDXPHT,0.0,0.0
E4PDH,0.0,0.0
EPISTESTH_Ppe,0.0,0.0
ERGSTESTH_Ppe,0.0,0.0
FECOSTESTH_Ppe,0.0,0.0
LANOSTESTH_Ppe,0.0,0.0
ZYMSTESTH_Ppe,0.0,0.0
plbpc_ppe2,0.0,0.0
CERS124er,0.0,0.0
CERS126er,0.0,0.0
CERASE124er,0.0,0.0
CERASE126er,0.0,0.0
CERASE224er,0.0,0.0
CERASE226er,0.0,0.0
PTE12x,0.0,0.0
MN1PP,0.0,0.0
MN6PR,0.0,0.0
MNDH,0.0,0.0
PDX5PSYN,0.0,0.0
CERS224er,0.0,0.0
CERS226er,0.0,0.0
IPC124PLC_PP,0.0,0.0
IPC126PLC_PP,0.0,0.0
IPC224PLC_PP,0.0,0.0
IPC226PLC_PP,0.0,0.0
IPC324PLC_PP,0.0,0.0
IPC326PLC_PP,0.0,0.0
IPCS124_PP,0.0,0.0
IPCS126_PP,0.0,2.2490761036830928e-07
IPCS224_PP,0.0,0.0
IPCS226_PP,0.0,1.812490742379904e-07
IPCS324_PP,1.2182742906017078e-06,2.1134700444904357e-05
IPCS326_PP,1.0569830862642286e-06,1.4976200878642712e-05
MIP2C124PLC_PP,0.0,0.0
MIP2C126PLC_PP,-2.9567613714326773e-08,0.0
MIP2C224PLC_PP,-3.6689739645514974e-08,0.0
MIP2C226PLC_PP,0.0,0.0
MIP2C324PLC_PP,0.0,0.0
MIP2C326PLC_PP,7.585815052986553e-08,0.0
MIP2CS124_PP,0.0,0.0
MIP2CS126_PP,-2.9567613714326773e-08,0.0
MIP2CS224_PP,-3.6689739645514974e-08,0.0
MIP2CS226_PP,0.0,0.0
MIP2CS324_PP,5.0127134781407004e-08,7.780480332800158e-06
MIP2CS326_PP,1.100547267487067e-07,5.3078196046920985e-06
MIPC124PLC_PP,0.0,0.0
MIPC126PLC_PP,2.9567613714326773e-08,2.2490761036830928e-07
MIPC224PLC_PP,0.0,-2.2490761036830928e-07
MIPC226PLC_PP,-2.9567613714326773e-08,0.0
MIPC324PLC_PP,0.0,0.0
MIPC326PLC_PP,0.0,0.0
PYMDSYN,0.0,0.0
ALADt2r,0.0,0.0
EPISTt,0.0,0.0
PHEDt2r,0.0,0.0
ALADO,0.0,0.0
PHEDO,0.0,0.0
13BGHe,0.0,0.0
2DDA7Ptm,-0.02014002961435917,-0.019658778522206054
2OXOADPtim,0.0,0.0
34HPLFM,0.0,0.0
34HPPt2m,0.0,0.0
3OPHB_5tm,0.0,0.0
4ABZtm,8.885605206550729e-08,0.0
4HBZCOAFm,0.0,0.0
4HBZFm,0.0,0.0
4HGLSDm,0.0,0.0
4HTHRS,0.0,0.0
AASAD1,0.0,0.0
ACACT1m,0.006826252748712793,0.021298301415502808
ACALDt,0.0,0.0
ACP1e,0.0,0.0
ACRNtm,0.0,0.0
ACSm,0.0,0.0
ACSp,0.0,0.0
ACt2e,0.0,0.0
ADEt2,0.0,0.0
ADK1,0.09507229823194455,0.10845042386781766
ADK3,0.0,0.0
ADK3m,0.0,0.0
ADK4,0.0,0.0
ADK4m,0.0,0.0
ADNt2,0.0,0.0
AHSERL,0.0,0.0
AKGDam,0.6777271078021027,0.555015195908398
AKGMAL,0.0,0.0
ALAt2r,0.0,0.0
ALATA_Lm,0.0,0.0
ALDD20xm,0.0,0.0
ALDD20y,0.0,0.0
ALDD20ym,0.0,0.0
ALDD2y,0.0,0.0
ALDD2ym,0.0,0.0
ALLTTti,0.0,0.0
AMETt2,0.0,0.0
AMID,0.0,0.0
AMID2,0.0,0.0
AMPN,0.0,0.0
ARAB_Lt,0.0,0.0
ARABR,0.0,0.0
ARGt2r,0.0,0.0
ARMT,0.0,0.0
ASNNe,0.0,0.0
ASNt2r,0.0,0.0
ASPt2m,0.0,0.0
ASPt2n,0.0,0.0
ASPt2r,0.0,0.0
ATHRDHr,0.0,0.0
ATPATF2,0.0,0.0
ATPATF3,0.0,0.0
ATPH1,0.0,0.0
ATPS,0.0,0.0
ATPS3g,0.0,0.0
ATPtm_H,12.00157622132292,11.475742740185368
BTNt2i,8.885605206459483e-08,9.649745831476999e-08
CHLt2,0.0,0.0
CHTNDA,0.0,0.0
CITtbm,-0.02014002961435917,-0.019658778522206054
CO2tn,0.0,0.0
COUCOAFm,0.0,0.0
CRNt,0.0,0.0
CRNtim,0.0,0.0
CSNt2,0.0,0.0
CTPS2,0.0,0.0
CYSt2r,0.0,0.0
CYSTLp,0.0,0.0
CYTDt2,0.0,0.0
DADNt2,0.0,0.0
DCTPD,0.0,0.0
DCYTD,0.0,0.0
DCYTt2,0.0,0.0
DESAT16,0.00011807934795390559,0.0004863259917346478
DESAT18,0.0,0.0
DGSNt2,0.0,0.0
DHFRim,0.0,0.0
DHNPTtm,8.885605206550729e-08,0.0
DHPSm,8.885605206550729e-08,0.0
DHPTtm,-8.885605206550729e-08,0.0
DINSt2,0.0,0.0
D_LACtm,0.0,0.0
DOLK,0.0,0.0
dolpmmer,0.03915669298827435,0.03667578898169463
DPGM,0.0,0.0
DPRm,0.0,0.0
DRBK,0.0,0.0
DROPPRy,1.7771210412918965e-07,1.9299491662953998e-07
DRTPPD,1.7771210412918965e-07,1.9299491662953998e-07
DTTPt,0.0,0.0
DURIK1,0.0,0.0
DURIt2,0.0,0.0
DXHPScm,0.0,0.0
EHGLATm,0.0,0.0
EHGLATp,0.0,0.0
ERGSTt,0.0,0.0
ERGSTter,0.0011376199354000683,0.003287303457186715
ERGTETROLter,0.0011376199354000683,0.003287303457186715
ETHAt,0.0,0.0
FA141COAabcp,0.0,0.0
FA161COAabcp,0.0,0.0
FACOAL100p,0.0,0.0
FACOAL120p,0.0,0.0
FACOAL140,0.0,0.0
FACOAL140p,0.0,0.0
FACOAL141,0.0,0.0
FACOAL141p,0.0,0.0
FACOAL160p,0.0,0.0
FACOAL161,0.0,0.0
FACOAL161p,0.0,0.0
FACOAL80p,0.0,0.0
FAO141p_even,0.0,0.0
FAO141p_odd,0.0,0.0
FAO161p_even,0.0,0.0
FAO161p_odd,0.0,0.0
FAO181p_even,0.0,0.0
FAO181p_odd,0.0,0.0
FBA2,0.0,0.0
FBA3,0.0,0.0
FOLD3m,0.0,0.0
FRDcm,0.0,0.0
FRUt2,0.0,0.0
FUMt2r,0.0,0.0
G12MT1g,0.0,0.0
G12MT2g,0.0,0.0
G3PCt,0.0,0.0
G5SD2,0.0,0.0
G6PI,0.0,0.0
GALt2,0.0,0.0
GAM6Pt,0.0,0.0
GCALDt,0.0,0.0
GCALDtm,-8.885605206550729e-08,0.0
GCC2am,0.0,0.0
GCC2cm,0.0,0.0
GK2,0.0004744073824386031,8.391611969969029e-05
GLCt1,1.0,1.0
GLNt2r,0.0,0.0
GLUK,0.0,0.0
GLUt2r,0.0,0.0
GLYCLm,0.00019779726862875036,0.000641444895662934
GLYOXm,0.0,0.0
GLYt2r,0.0,0.0
GSNt2,0.0,0.0
GTHOXti,0.0,0.0
GTHP,0.0,0.0
GTHRDt2,0.0,0.0
GTMLT,0.0,0.0
GUAt2r,0.0,0.0
H2Oter,-0.0011376199354000683,-0.0035496204051254873
H2Otn,0.0,0.0
HCITSn,0.0,0.0
HCO3E,0.2492772885159596,0.49476084622372296
HCO3Em,0.0,0.0
HCO3En,0.0,0.0
HDCAt,0.0,0.0
HDCEAt,0.0,0.0
HICITDm,0.015343895769523356,0.02021364751575583
HISt2r,0.0,0.0
HMGCOASm,-0.006826252748712793,-0.021298301415502808
HMPK1,0.0,0.0
HPROb,0.0,0.0
HPROxm,0.0,0.0
HPROym,0.0,0.0
HXANt2r,0.0,0.0
ICDHxm,0.7161920956065901,0.5909606276306689
ICDHym,0.05180337133917724,0.0801680336080874
ICDHyp,0.0,0.0
ID3ACALDt,0.0,0.0
ID3ACALDtm,0.0,0.0
ILEt2r,0.0,0.0
ILETAm,-0.00812044666794812,-0.013944098306618224
INDPYRD,0.0,0.0
INSt2,0.0,0.0
INSTt2,0.0,0.0
IPPSm,0.01747298384041767,0.022288454887302266
ITCOALm,0.0,0.0
LEUt2r,0.0,0.0
LEUTAm,0.0,0.0
L_LACt2r,0.0,0.0
LSERDHr,0.0,0.0
LYSt2r,0.0,0.0
MALt2r,0.0,0.0
MALTt2,0.0,0.0
MANt2,0.0,0.0
ME2m,0.0076592035565924066,0.0
METt2r,0.0,0.0
MEVK2,0.001455824009729447,0.003669671306994241
MEVK3,0.0,0.0
MEVK4,0.0,0.0
MHPGLUT,0.0,0.0
MI1345PKn,0.0,0.0
MI1456PKn,0.0,0.0
MI145P6Kn,0.0,0.0
MI145PKn,0.0,0.0
MMETt2,0.0,0.0
MTAP,0.0,0.0
MTHFC,0.018391918842735458,0.02585428634923196
MTHFCm,0.00019779726862875036,0.000641444895662934
NADH2_u6cm,0.26517683267880204,0.12014936851070519
NADH2_u6m,0.0,0.0
NAt3_1,0.0,0.0
NDP1,0.0,0.0
NDP3g,0.0,0.0
NDPK9,0.0,0.0
NMNTP,0.0,0.0
NNDPRm,1.777121041426306e-07,0.0
NNMT,0.0,0.0
NTD2,0.0,0.0
NTRLASE2,0.0,0.0
NTRLASE3,0.0,0.0
O2ter,0.0011376199354000683,0.0035496204051254873
OCDCAt,0.0,0.0
OHPBAT,0.0,0.0
OMCDCm,0.01747298384041767,0.022288454887302266
ORNt2r,0.0,0.0
OXAGm,0.015343895769523356,0.02021364751575583
OXO2Ctm,0.0,0.0
P5CR,0.0,0.0
PANTtm,0.0,0.0
PAtm_PP,4.84923402779234e-05,3.386743503205488e-05
PDE3,0.0,0.0
PDE5,0.0,0.0
PDX5PO,0.0,0.0
pepat,0.0,0.0
PFK_2,0.0,0.0
PFK_3,0.0,0.0
PGAMT,0.0,0.0
PHEt2r,0.0,0.0
PIt2m,11.981290003839307,11.45599890708575
PMI12346PH,0.0,0.0
PMI1346PH,0.0,0.0
PNTOt2,0.0,0.0
POLYAO,0.0,0.0
POLYAO2,0.0,0.0
PPNCL2,3.667018111274869e-06,1.483364872300918e-05
PROt2r,0.0,0.0
PSPHPL,0.0,0.0
PTE2x,0.0,0.0
PUNP1m,0.0,0.0
PUNP3m,0.0,0.0
PUNP7,0.0,0.0
PYAM5PO,-5.923736804754354e-08,0.0
PYDXNO,0.0,0.0
PYDXO,-5.923736804754354e-08,0.0
PYR5CDm,0.0,0.0
PYRt2,0.0,0.0
PYRt2m,0.8872326284150182,0.855142664215858
QUILSYN,0.0,0.0
RBFKm,0.0,0.0
RIBFLVt2,0.0,0.0
RNDR1n,0.0,0.0
RNDR2n,0.0,0.0
RNDR3n,0.0,0.0
RNDR4n,0.0,0.0
RNMK,0.0,0.0
RNTR1,0.0004744073824386031,8.391611969969029e-05
RNTR2,0.0,0.0
RNTR3,0.0,0.0
RNTR4,0.0,0.0
SBT_Lt,0.0,0.0
SERt2r,0.0,0.0
SLFAT,0.006800873380474939,0.0030474194514503792
SPHPL,4.552906894194217e-07,7.557407480715414e-07
SQ23EPXter,0.0011376199354000683,0.0035496204051254873
SQLter,0.0011376199354000683,0.0035496204051254873
SRB_Lt,0.0,0.0
SUCCt2r,0.0,0.0
SUCD2_u6m,0.6777263969536861,0.5550144239287315
T4HCINNMFM,0.0,0.0
THIORDXi,0.0,0.0
THMDPe,8.885605206459483e-08,9.649745831476999e-08
THMDt2,0.0,0.0
THMPe,0.0,0.0
THMt2,8.885605206459483e-08,9.649745831476999e-08
THRA2i,0.0,0.0
THRD_Lm,0.0,0.0
THRt2r,0.0,0.0
THYMt3r,0.0,0.0
TMDPP,0.0,0.0
TMDPPK,0.0,0.0
TRDRm,0.0,0.0
TREt2,0.0,0.0
TRPt2r,0.0,0.0
TRPTA,0.0,0.0
TYRt2r,0.0,0.0
udpg4e,0.0,0.0
UMPKn,0.0,0.0
URAt2,0.0,0.0
UREA2t2,0.0,0.0
URIDK2rn,0.0,0.0
URIt2,0.0,0.0
VALt2r,0.0,0.0
XANt,0.0,0.0
XPPT,0.0,0.0
XTSNt2,0.0,0.0
XYLR,0.0,0.0
XYLt,0.0,0.0
XYLTt,0.0,0.0
YUMPS,0.0,0.0
ZYMSTt,0.0,0.0
NDP7,0.0,0.0
ACOAHim,0.0,0.0
NADS1n,0.0,0.0
TYRTAim,0.0,0.0
TYRTAip,0.0,0.0
FTHFLmi,0.0,0.0
GLYCDy,0.0,0.0
VALTAim,0.0,0.0
DASYNm_PP,4.84923402779234e-05,3.386743503205488e-05
PSERSm_PP,0.0,0.0
DHORDfum,8.885605206550729e-08,0.0
BTDD_RR,0.0,0.0
G6PI3,0.0,0.0
PPTTm,8.885605206387379e-08,9.649745831347866e-08
ACON3MT,0.0,0.0
PI3P5K_PP,0.0,0.0
HEMEOSm,0.0,0.0
GGTT,8.885605206387379e-08,9.649745831347866e-08
C3STDH2,0.0011376199354000683,0.0035322272651403725
C3STKR2,0.0011376199354000683,0.0035322272651403725
C4STMO2,0.0011376199354000683,0.0035322272651403725
PLBP1I_PPe,0.0,0.0
ACALDCD,0.0,0.0
ARAB14LO,0.0,0.0
16GS,0.0,0.0
GLCGSDv,0.0,0.0
3IPM3MT,0.0,0.0
3MOBDC,0.0,0.0
4MOPDC,0.0,0.0
ACHLE1,0.0,0.0
ACHLE2,0.0,0.0
ACHLE3,0.0,0.0
ALCD22xi,0.0,0.0
ALCD22xim,0.0,0.0
ALCD22yi,0.0,0.0
ALCD23xi,0.0,0.0
ALCD23xim,0.0,0.0
ALCD23yi,0.0,0.0
ALCD24xi,0.0,0.0
ALCD24xim,0.0,0.0
ALCD24yi,0.0,0.0
ALCD25xi,0.0,0.0
ALCD25xim,0.0,0.0
ALCD25yi,0.0,0.0
ALCD26xi,0.0,0.0
ALCD26xim,0.0,0.0
PTE10x,0.0,0.0
PTE11x,0.0,0.0
PTE7x,0.0,0.0
PTE8x,0.0,0.0
PTE9x,0.0,0.0
PCDAGAT,1.2405899638655429e-05,0.0
DHORD4i,0.007142965484616032,0.01000661948663875
DHORDi,0.0,0.0
COAHLp,0.0,0.0
LPP_PP,0.0,0.0
MI13456PKn,0.0,0.0
PI35BP5P_PP,0.0,0.0
PIN4Kn_PP,0.0,0.0
PMI12346PS,0.0,0.0
PMI1346PS,0.0,0.0
HEMEOMOm,0.0,0.0
PYRDC2,0.0,0.0
SBPP2er,0.0,0.0
C22STDSx,0.0011376199354000683,0.003287303457186715
LNS14DMx,0.0011376199354000683,0.0035322272651403725
THZPSN1_PP,0.0,0.0
THZPSN2_PP,0.0,0.0
2MBALDt,0.0,0.0
2MBTOHt,0.0,0.0
2MPPALt,0.0,0.0
2PHETOHt,0.0,0.0
3C3HMPt,0.0,0.0
3MBALDt,0.0,0.0
3MOPt,0.0,0.0
4ABZt,0.0,0.0
BTDt_RR,0.0,0.0
FECOSTt,0.0,0.0
G3PIt,0.0,0.0
GLXt,0.0,0.0
GLYCt2,0.0,0.0
IAMOHt,0.0,0.0
IBUTOHt,0.0,0.0
IND3ETHt,0.0,0.0
LANOSTt,0.0,0.0
NACt,0.0,0.0
NADPt,0.0,0.0
NFORTYRt,0.0,0.0
NH4ti,0.0,0.0
OAAt,0.0,0.0
PACALDt,0.0,0.0
PTRCt3i,0.0,0.0
PTRCtex2,0.0,0.0
SO3ti,0.0,0.0
SPMDt3i,0.0,0.0
SPMDtex2,0.0,0.0
SPRMt2i,0.0,0.0
TTDCAtr,0.0,0.0
GDPMANNtg,0.0,0.0
UDPGALt2g,0.0,0.0
2MBALDtm,0.0,0.0
2MBTOHtm,0.0,0.0
2MPPALtm,0.0,0.0
3DH5HPBtm,0.0,0.0
3MBALDtm,0.0,0.0
CTPtm,4.84923402779234e-05,3.386743503205488e-05
D_LACt2m,0.0,0.0
IAMOHtm,0.0,0.0
IBUTOHtm,0.0,0.0
IND3ETHtm,0.0,0.0
IPDPtm,8.885605206387379e-08,9.649745831347866e-08
PACALDtm,0.0,0.0
PENDPtm,8.885605206387379e-08,9.649745831347866e-08
GLUt7m,0.05928523044986177,0.07812052008232603
THMPPt2m,0.0,0.0
HCO3tn,0.0,0.0
TRDOXtp,0.009108207118302937,0.0034548452300995026
TRDRDtp,-0.009108207118302937,-0.0034548452300995026
ASNt6,0.0,0.0
